stadsdeel,postcode_min,postcode_max
A,1011AB,1011BD
A,1011BG,1011CE
A,1011CH,1011CZ
A,1011DB,1011DD
A,1011DG,1011DL
A,1011DZ,1011EN
A,1011ER,1011GD
A,1011GG,1011JD
A,1011JG,1011KE
A,1011KH,1011KK
A,1011KM,1011LE
A,1011LH,1011MC
A,1011ME,1011ML
A,1011MN,1011MV
A,1011MX,1011NH
A,1011NK,1011NK
A,1011NM,1011NS
A,1011NV,1011NV
A,1011NX,1011PG
A,1011PL,1011PN
A,1011PT,1011PW
A,1011PZ,1011SG
A,1011SK,1011SK
A,1011SM,1011TG
A,1011TJ,1011VM
A,1011VP,1011VT
A,1011VW,1011VZ
A,1011WB,1011WD
A,1011XA,1011XA
A,1012AA,1012JP
A,1012JS,1012JW
A,1012JZ,1012JZ
A,1012KB,1012KG
A,1012KJ,1012ML
A,1012MN,1012MV
A,1012MX,1012NP
A,1012NS,1012VK
A,1012VM,1012VZ
A,1012WB,1012WC
A,1012WE,1012WL
A,1012WN,1012WV
A,1012WX,1012XT
A,1012XW,1012ZA
A,1012ZD,1012ZL
A,1013AA,1013AB
A,1013AD,1013AG
A,1013AV,1013AV
A,1013AZ,1013AZ
A,1013BH,1013BH
A,1013BP,1013BR
A,1013BV,1013BX
A,1013CG,1013CG
A,1013CT,1013CT
A,1013CW,1013CW
A,1013DA,1013DP
A,1013EA,1013GT
A,1013GW,1013HH
A,1013HK,1013KX
A,1013LA,1013LC
A,1013LE,1013LJ
A,1013LL,1013LR
A,1013LT,1013LV
A,1013LX,1013MN
A,1013MR,1013MV
A,1015AA,1015AW
A,1015BA,1015CL
A,1015CN,1015EB
A,1015GA,1015GZ
A,1015HB,1015MB
A,1015MD,1015ML
A,1015MN,1015MV
A,1015MX,1015NL
A,1015NP,1015RN
A,1015RR,1015TE
A,1015TH,1015VZ
A,1015WB,1015WL
A,1015WN,1015WV
A,1015WX,1015XE
A,1015XH,1015XX
A,1015ZA,1015ZB
A,1015ZD,1015ZL
A,1015ZN,1015ZR
A,1016AA,1016CT
A,1016CW,1016JC
A,1016KA,1016MC
A,1016NA,1016NV
A,1016NX,1016SC
A,1016SG,1016SV
A,1016SX,1016VZ
A,1016WB,1016WC
A,1016XA,1016XN
A,1016XR,1016ZB
A,1017AA,1017AS
A,1017AV,1017MC
A,1017NA,1017NV
A,1017NX,1017VZ
A,1017WB,1017WL
A,1017WN,1017WP
A,1017WS,1017WV
A,1017WZ,1017ZX
A,1018AA,1018BZ
A,1018CC,1018CH
A,1018CK,1018DT
A,1018DW,1018EG
A,1018EJ,1018GB
A,1018GD,1018KX
A,1018LE,1018PL
A,1018PR,1018RL
A,1018RR,1018WW
A,1018WZ,1018ZA
A,1018ZC,1018ZZ
A,1019BS,1019BT
B,1013AC,1013AC
B,1013AK,1013AK
B,1013AM,1013AR
B,1013BB,1013BG
B,1013BJ,1013BM
B,1013BS,1013BT
B,1013CX,1013CX
B,1014AJ,1014AK
B,1014AM,1014AX
B,1014BA,1014BD
B,1014BH,1014BK
B,1014BM,1014BP
B,1014BS,1014BW
B,1014BZ,1014BZ
B,1014CC,1014CC
B,1014CE,1014CE
B,1041AB,1041BA
B,1041BC,1041BE
B,1042AA,1042AH
B,1042AK,1042AL
B,1042AN,1042AV
B,1042AX,1042BB
B,1043AC,1043AR
B,1043AX,1043AX
B,1043BA,1043BD
B,1043BJ,1043BL
B,1043BP,1043BP
B,1043BS,1043BS
B,1043BW,1043CB
B,1043CE,1043CE
B,1043CH,1043CH
B,1043CM,1043CM
B,1043CP,1043CR
B,1043CT,1043CT
B,1043DE,1043DL
B,1043DP,1043DW
B,1043EA,1043EC
B,1043EJ,1043EJ
B,1043EW,1043EZ
B,1043GK,1043GR
B,1043GV,1043GW
B,1043HP,1043HS
B,1043NT,1043NV
B,1043NX,1043NZ
B,1044AB,1044AB
B,1044AD,1044AN
B,1044AS,1044AS
B,1045AA,1045AA
B,1045AC,1045AG
B,1045AL,1045AM
B,1045AP,1045AV
B,1045AX,1045BA
B,1046AA,1046AN
B,1046AR,1046AW
B,1046BA,1046BS
B,1046BV,1046BW
B,1046BZ,1046CC
B,1046CH,1046CK
B,1046PP,1046PP
B,1047AC,1047AH
B,1047AV,1047AW
B,1047AZ,1047BE
B,1047BJ,1047BJ
B,1047BM,1047BM
B,1047BP,1047BP
B,1047HB,1047HB
B,1047HD,1047HD
B,1047HH,1047HK
B,1047HM,1047HP
E,1013AE,1013AE
E,1013AH,1013AL
E,1013AS,1013AT
E,1013AW,1013AX
E,1013BX,1013CE
E,1013CH,1013CS
E,1013CZ,1013CZ
E,1013DR,1013DZ
E,1013LC,1013LD
E,1013MP,1013MR
E,1013MV,1013MV
E,1013MX,1013NV
E,1013NX,1013PX
E,1013RA,1013TP
E,1013TX,1013TX
E,1013VB,1013VB
E,1013VD,1013VD
E,1013VG,1013VZ
E,1013WB,1013WL
E,1013WN,1013WV
E,1013WZ,1013XH
E,1013XL,1013XM
E,1013XP,1013ZZ
E,1014AA,1014AA
E,1014AC,1014AK
E,1014AZ,1014AZ
E,1014BE,1014BG
E,1014BL,1014BL
E,1014BX,1014BX
E,1014CB,1014CB
E,1014DA,1014DD
E,1015ZE,1015ZG
E,1051AA,1051AC
E,1051AK,1051AP
E,1051AS,1051BE
E,1051BH,1051DG
E,1051EA,1051HS
E,1051HV,1051KJ
E,1051KM,1051LH
