Naam openbare ruimte;Huisnummer;Huisletter;Huisnummertoevoeging;Postcode;Woonplaats;Naam stadsdeel;Code stadsdeel;Naam gebiedsgerichtwerkengebied;Code gebiedsgerichtwerkengebied;Naam Wijk;Code Wijk;Naam buurt;Code buurt;Code bouwblok;X-coordinaat (RD);Y-coordinaat (RD);Latitude (WGS84);Longitude (WGS84);Indicatie hoofdadres;Gebruiksdoel;Feitelijk gebruik;Oppervlakte (m2);Objecttype;Verblijfsobjectstatus;Openbareruimte-identificatie;Pandidentificatie;Verblijfsobjectidentificatie;Ligplaatsidentificatie;Standplaatsidentificatie;Nummeraanduidingidentificatie
Cacaoweg;5;;;1047BE;;Westpoort;B;;;Westelijk Havengebied;B10;Amerikahaven;B10f;DA16;112629;491701;52,4114925;4,7644696;;BEST-industriefunctie;opslag / distributie;2772;Verblijfsobject;Verblijfsobject in gebruik;0363300000001090;['0363100012115099'];0363010001002907;;;0363200000455958
Rigakade;12;;;1013BC;;Westpoort;B;;;Westelijk Havengebied;B10;Coenhaven/Mercuriushaven;B10a;DD25;120090;489854;52,3954187;4,8743128;;BEST-kantoorfunctie;opslag / distributie;200;Verblijfsobject;Verblijfsobject in gebruik;0363300000004661;['0363100012080324'];0363010000936582;;;0363200000251781
Gyroscoopweg;142;;;1042AZ;;Westpoort;B;;;Westelijk Havengebied;B10;Vervoerscentrum;B10e;DB24;118044;490544;52,4014859;4,8441787;;BEST-kantoorfunctie;kantoor (hoofdcode);5525;Verblijfsobject;Verblijfsobject in gebruik;0363300000003773;['0363100012073129'];0363010000958038;;;0363200000465330
Kopraweg;35;;;1047BP;;Westpoort;B;;;Westelijk Havengebied;B10;Amerikahaven;B10f;DA14;112559;491136;52,4064094;4,7635123;;BEST-industriefunctie;overig bedrijf;1;Verblijfsobject;Verblijfsobject in gebruik;0363300000001039;['0363100012148832'];0363010000958040;;;0363200000465333
Archangelkade;13;;;1013BE;;Westpoort;B;;;Westelijk Havengebied;B10;Coenhaven/Mercuriushaven;B10a;DD25;119805;490026;52,3969463;4,8701078;;BEST-industriefunctie;opslag / distributie;853;Verblijfsobject;Verblijfsobject in gebruik;0363300000002742;['0363100012073014'];0363010000571619;;;0363200000034362
Archangelkade;29;;;1013BE;;Westpoort;B;;;Westelijk Havengebied;B10;Coenhaven/Mercuriushaven;B10a;DD25;119781;490187;52,3983917;4,8697383;;BEST-industriefunctie;bedrijf;1073;Verblijfsobject;Verblijfsobject in gebruik;0363300000002742;['0363100012102122'];0363010000571634;;;0363200000034377
Archangelkade;31;;;1013BE;;Westpoort;B;;;Westelijk Havengebied;B10;Coenhaven/Mercuriushaven;B10a;DD25;119770;490217;52,3986606;4,8695735;;BEST-kantoorfunctie;kantoor (hoofdcode);3040;Verblijfsobject;Verblijfsobject in gebruik;0363300000002742;['0363100012112391'];0363010000571635;;;0363200000034378
Nieuw-Zeelandweg;12;;;1045AL;;Westpoort;B;;;Westelijk Havengebied;B10;Amerikahaven;B10f;DA24;115153;491079;52,4060917;4,8016373;;BEST-industriefunctie;opslag / distributie;2490;Verblijfsobject;Verblijfsobject in gebruik;0363300000001096;['0363100012133472'];0363010000980895;;;0363200000468405
Dukdalfweg;58;;;1041BE;;Westpoort;B;;;Westelijk Havengebied;B10;Westhaven Noord;B10d;DC30;116739;492309;52,4172588;4,8248027;;BEST-industriefunctie;bedrijf;1;Verblijfsobject;Verblijfsobject in gebruik;0363300000001520;['0363100012138939'];0363010000980923;;;0363200000468415
Bauduinlaan;36;;;1047HK;;Westpoort;B;;;Westelijk Havengebied;B10;Afrikahaven;B10g;DA31;111445;490503;52,4006333;4,7472247;;BEST-woning;woning;73;Verblijfsobject;Verblijfsobject in gebruik;0363300000001455;['0363100012063333'];0363010000984290;;;0363200000469092
Marifoonweg;2;;;1042AV;;Westpoort;B;;;Westelijk Havengebied;B10;Vervoerscentrum;B10e;DB19;117669;490664;52,4025390;4,8386554;;BEST-industriefunctie;bedrijf;11429;Verblijfsobject;Verblijfsobject in gebruik;0363300000001142;['0363100012138020'];0363010001010893;;;0363200000469448
